Concessionaria;Data;Km;Trecho
VIA BAHIA;01/04/2010;520;BR-324/BA
VIA BAHIA;01/04/2010;523;BR-324/BA
VIA BAHIA;01/04/2010;538;BR-324/BA
VIA BAHIA;01/04/2010;538;BR-324/BA
VIA BAHIA;01/04/2010;558;BR-324/BA
VIA BAHIA;01/04/2010;560;BR-324/BA
VIA BAHIA;01/04/2010;590;BR-324/BA
VIA BAHIA;01/04/2010;593;BR-324/BA
VIA BAHIA;02/04/2010;524;BR-324/BA
VIA BAHIA;02/04/2010;539;BR-324/BA
VIA BAHIA;02/04/2010;561;BR-324/BA
VIA BAHIA;02/04/2010;619;BR-324/BA
VIA BAHIA;02/04/2010;625;BR-324/BA
VIA BAHIA;02/04/2010;625,0999755859375;BR-324/BA
VIA BAHIA;03/04/2010;530;BR-324/BA
VIA BAHIA;03/04/2010;537;BR-324/BA
VIA BAHIA;03/04/2010;582;BR-324/BA
VIA BAHIA;03/04/2010;599;BR-324/BA
VIA BAHIA;04/04/2010;541;BR-324/BA
VIA BAHIA;04/04/2010;541,4000244140625;BR-324/BA
VIA BAHIA;04/04/2010;554;BR-324/BA
VIA BAHIA;04/04/2010;557;BR-324/BA
VIA BAHIA;04/04/2010;565,9000244140625;BR-324/BA
VIA BAHIA;04/04/2010;568;BR-324/BA
VIA BAHIA;04/04/2010;570;BR-324/BA
VIA BAHIA;04/04/2010;594;BR-324/BA
VIA BAHIA;05/04/2010;560;BR-324/BA
VIA BAHIA;05/04/2010;560;BR-324/BA
VIA BAHIA;05/04/2010;574;BR-324/BA
VIA BAHIA;05/04/2010;580;BR-324/BA
VIA BAHIA;05/04/2010;582,0050048828125;BR-324/BA
VIA BAHIA;07/04/2010;523;BR-324/BA
VIA BAHIA;07/04/2010;526;BR-324/BA
VIA BAHIA;07/04/2010;607;BR-324/BA
VIA BAHIA;07/04/2010;611;BR-324/BA
VIA BAHIA;08/04/2010;3;BR-116/BA - ContSuFS
VIA BAHIA;08/04/2010;583;BR-324/BA
VIA BAHIA;08/04/2010;603;BR-324/BA
VIA BAHIA;08/04/2010;608;BR-324/BA
VIA BAHIA;08/04/2010;623;BR-324/BA
VIA BAHIA;09/04/2010;435;BR-116/BA
VIA BAHIA;09/04/2010;470;BR-116/BA
VIA BAHIA;09/04/2010;478;BR-116/BA
VIA BAHIA;09/04/2010;528;BR-324/BA
VIA BAHIA;09/04/2010;532;BR-324/BA
VIA BAHIA;09/04/2010;602;BR-324/BA
VIA BAHIA;10/04/2010;531;BR-324/BA
VIA BAHIA;10/04/2010;610;BR-324/BA
VIA BAHIA;10/04/2010;615;BR-324/BA
VIA BAHIA;10/04/2010;617;BR-324/BA
VIA BAHIA;10/04/2010;618;BR-324/BA
VIA BAHIA;10/04/2010;620;BR-324/BA
VIA BAHIA;10/04/2010;620;BR-324/BA
VIA BAHIA;11/04/2010;435;BR-116/BA
VIA BAHIA;11/04/2010;504;BR-116/BA
VIA BAHIA;11/04/2010;545;BR-324/BA
VIA BAHIA;11/04/2010;562;BR-324/BA
VIA BAHIA;12/04/2010;2;BR-116/BA - ContSuFS
VIA BAHIA;12/04/2010;507,79998779296875;BR-116/BA
VIA BAHIA;12/04/2010;533;BR-324/BA
VIA BAHIA;12/04/2010;555;BR-324/BA
VIA BAHIA;12/04/2010;558;BR-324/BA
VIA BAHIA;12/04/2010;559;BR-324/BA
VIA BAHIA;12/04/2010;561;BR-324/BA
VIA BAHIA;12/04/2010;561,0999755859375;BR-324/BA
VIA BAHIA;12/04/2010;561,0999755859375;BR-324/BA
VIA BAHIA;12/04/2010;602,7000122070312;BR-324/BA
VIA BAHIA;12/04/2010;618;BR-324/BA
VIA BAHIA;13/04/2010;427;BR-116/BA
VIA BAHIA;13/04/2010;523;BR-324/BA
VIA BAHIA;13/04/2010;560;BR-324/BA
VIA BAHIA;13/04/2010;614;BR-324/BA
VIA BAHIA;14/04/2010;460;BR-116/BA
VIA BAHIA;14/04/2010;552;BR-116/BA
VIA BAHIA;14/04/2010;533;BR-324/BA
VIA BAHIA;14/04/2010;560;BR-324/BA
VIA BAHIA;15/04/2010;6;BR-116/BA - ContSuFS
VIA BAHIA;15/04/2010;448;BR-116/BA
VIA BAHIA;15/04/2010;450;BR-116/BA
VIA BAHIA;15/04/2010;576;BR-116/BA
VIA BAHIA;15/04/2010;521,4000244140625;BR-324/BA
VIA BAHIA;15/04/2010;524;BR-324/BA
VIA BAHIA;15/04/2010;533;BR-324/BA
VIA BAHIA;15/04/2010;554;BR-324/BA
VIA BAHIA;15/04/2010;562;BR-324/BA
VIA BAHIA;15/04/2010;607;BR-324/BA
VIA BAHIA;15/04/2010;618,7999877929688;BR-324/BA
VIA BAHIA;16/04/2010;522;BR-324/BA
VIA BAHIA;16/04/2010;522;BR-324/BA
VIA BAHIA;16/04/2010;543;BR-324/BA
VIA BAHIA;16/04/2010;581;BR-324/BA
VIA BAHIA;16/04/2010;606,4000244140625;BR-324/BA
VIA BAHIA;17/04/2010;5;BR-116/BA - ContSuFS
VIA BAHIA;17/04/2010;526;BR-116/BA
VIA BAHIA;17/04/2010;580;BR-116/BA
VIA BAHIA;17/04/2010;522;BR-324/BA
VIA BAHIA;17/04/2010;578;BR-324/BA
VIA BAHIA;17/04/2010;615,5;BR-324/BA
VIA BAHIA;17/04/2010;621,5999755859375;BR-324/BA
VIA BAHIA;18/04/2010;459;BR-116/BA
VIA BAHIA;18/04/2010;526;BR-116/BA
VIA BAHIA;18/04/2010;628;BR-116/BA
VIA BAHIA;18/04/2010;698;BR-116/BA
VIA BAHIA;18/04/2010;755;BR-116/BA
VIA BAHIA;18/04/2010;562;BR-324/BA
VIA BAHIA;18/04/2010;580;BR-324/BA
VIA BAHIA;18/04/2010;622;BR-324/BA
VIA BAHIA;19/04/2010;588;BR-116/BA
VIA BAHIA;19/04/2010;533;BR-324/BA
VIA BAHIA;19/04/2010;549,2999877929688;BR-324/BA
VIA BAHIA;19/04/2010;557;BR-324/BA
VIA BAHIA;19/04/2010;577;BR-324/BA
VIA BAHIA;19/04/2010;605;BR-324/BA
VIA BAHIA;19/04/2010;622;BR-324/BA
VIA BAHIA;20/04/2010;471;BR-116/BA
VIA BAHIA;20/04/2010;520;BR-324/BA
VIA BAHIA;20/04/2010;521;BR-324/BA
VIA BAHIA;20/04/2010;551;BR-324/BA
VIA BAHIA;21/04/2010;488,3999938964844;BR-116/BA
VIA BAHIA;21/04/2010;909,9000244140625;BR-116/BA
VIA BAHIA;21/04/2010;562;BR-324/BA
VIA BAHIA;21/04/2010;563,2000122070312;BR-324/BA
VIA BAHIA;21/04/2010;622;BR-324/BA
VIA BAHIA;22/04/2010;477;BR-116/BA
VIA BAHIA;22/04/2010;633,2999877929688;BR-116/BA
VIA BAHIA;22/04/2010;872;BR-116/BA
VIA BAHIA;22/04/2010;890,2999877929688;BR-116/BA
VIA BAHIA;22/04/2010;521;BR-324/BA
VIA BAHIA;22/04/2010;552;BR-324/BA
VIA BAHIA;22/04/2010;554;BR-324/BA
VIA BAHIA;22/04/2010;596;BR-324/BA
VIA BAHIA;22/04/2010;611;BR-324/BA
VIA BAHIA;22/04/2010;619;BR-324/BA
VIA BAHIA;23/04/2010;654,5;BR-116/BA
VIA BAHIA;23/04/2010;670;BR-116/BA
VIA BAHIA;23/04/2010;520;BR-324/BA
VIA BAHIA;23/04/2010;522;BR-324/BA
VIA BAHIA;23/04/2010;549;BR-324/BA
VIA BAHIA;23/04/2010;556;BR-324/BA
VIA BAHIA;23/04/2010;560;BR-324/BA
VIA BAHIA;23/04/2010;565;BR-324/BA
VIA BAHIA;23/04/2010;570,5;BR-324/BA
VIA BAHIA;24/04/2010;27;BR-116/BA - Cont VC
VIA BAHIA;24/04/2010;870;BR-116/BA
VIA BAHIA;24/04/2010;547;BR-324/BA
VIA BAHIA;24/04/2010;566;BR-324/BA
VIA BAHIA;24/04/2010;568;BR-324/BA
VIA BAHIA;24/04/2010;583;BR-324/BA
VIA BAHIA;24/04/2010;585;BR-324/BA
VIA BAHIA;24/04/2010;587;BR-324/BA
VIA BAHIA;24/04/2010;591;BR-324/BA
VIA BAHIA;24/04/2010;620;BR-324/BA
VIA BAHIA;25/04/2010;567;BR-116/BA
VIA BAHIA;25/04/2010;520,7999877929688;BR-324/BA
VIA BAHIA;25/04/2010;544;BR-324/BA
VIA BAHIA;25/04/2010;574;BR-324/BA
VIA BAHIA;25/04/2010;575;BR-324/BA
